"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 12:47:08 MSK 2024","Mon Jul 08 12:47:10 MSK 2024","1579","tests","test_base_page","TestLogosClick","","","Проверка перехода на страницу ""Дзен"" при клике на лого ""Яндекс""",""
"passed","Mon Jul 08 12:47:21 MSK 2024","Mon Jul 08 12:47:26 MSK 2024","5347","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
"passed","Mon Jul 08 12:47:45 MSK 2024","Mon Jul 08 12:47:51 MSK 2024","5332","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
"passed","Mon Jul 08 12:47:37 MSK 2024","Mon Jul 08 12:47:43 MSK 2024","5350","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
"passed","Mon Jul 08 12:48:10 MSK 2024","Mon Jul 08 12:48:15 MSK 2024","5348","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
"passed","Mon Jul 08 12:48:25 MSK 2024","Mon Jul 08 12:48:30 MSK 2024","4641","tests","test_order_page","TestOrderPage","","","Проверка оформления заказа","Проверяем, что заказ можно оформить двумя способами: нажатием кнопки ""Заказать"" на главной странице, а также нажатием кнопки ""Заказать"" в шапке страницы"
"passed","Mon Jul 08 12:47:13 MSK 2024","Mon Jul 08 12:47:18 MSK 2024","5352","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
"passed","Mon Jul 08 12:48:02 MSK 2024","Mon Jul 08 12:48:07 MSK 2024","5331","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
"passed","Mon Jul 08 12:47:54 MSK 2024","Mon Jul 08 12:47:59 MSK 2024","5349","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
"passed","Mon Jul 08 12:48:18 MSK 2024","Mon Jul 08 12:48:22 MSK 2024","4604","tests","test_order_page","TestOrderPage","","","Проверка оформления заказа","Проверяем, что заказ можно оформить двумя способами: нажатием кнопки ""Заказать"" на главной странице, а также нажатием кнопки ""Заказать"" в шапке страницы"
"passed","Mon Jul 08 12:47:05 MSK 2024","Mon Jul 08 12:47:06 MSK 2024","495","tests","test_base_page","TestLogosClick","","","Проверка перехода на главную при клике на лого ""Самокат"" в шапке страницы",""
"passed","Mon Jul 08 12:47:29 MSK 2024","Mon Jul 08 12:47:34 MSK 2024","5339","tests","test_main_page","TestMainPage","","","Проверка раздела ""Вопросы о важном""","Проверяем, что в разделе ""Вопросы о важном"" все вопросы в аккордеоне кликаются. Проверяем, что при клике отображаются ответы на вопросы"
